dataset,label_name,true_label,image,top_concept,c_before,c_after,drop,l_drop,verdict,pred_before,pred_after,reg_before,reg_after,occlusion,file,original_file,occluded_file,where_file
BUSI,normal,0,normal (86).png,no mass,0.5125,0.5140,-0.0015,0.0015,FAIL,Normal,normal,0.0303,-0.0054,blur,busi_normal_idx86_FAIL.png,panels/busi_normal_idx86_original.png,panels/busi_normal_idx86_occluded.png,panels/busi_normal_idx86_where.png
BUSI,normal,0,normal (127).png,no mass,0.5144,0.0226,0.4918,0.0000,PASS,Normal,benign,-0.0165,1.0413,blur,busi_normal_idx109_PASS.png,panels/busi_normal_idx109_original.png,panels/busi_normal_idx109_occluded.png,panels/busi_normal_idx109_where.png
BUSI,normal,0,normal (121).png,no mass,0.5153,0.1485,0.3668,0.0000,PASS,Normal,benign,-0.0152,0.6560,blur,busi_normal_idx73_PASS.png,panels/busi_normal_idx73_original.png,panels/busi_normal_idx73_occluded.png,panels/busi_normal_idx73_where.png
BUSI,normal,0,normal (85).png,no mass,0.5126,0.0360,0.4766,0.0000,PASS,Normal,benign,0.0127,0.8926,blur,busi_normal_idx25_PASS.png,panels/busi_normal_idx25_original.png,panels/busi_normal_idx25_occluded.png,panels/busi_normal_idx25_where.png
BUSI,normal,0,normal (131).png,no mass,0.5146,0.0020,0.5126,0.0000,PASS,Normal,benign,-0.0179,1.1173,blur,busi_normal_idx3_PASS.png,panels/busi_normal_idx3_original.png,panels/busi_normal_idx3_occluded.png,panels/busi_normal_idx3_where.png
BUSI,benign,1,benign (327).png,oval shape,0.4948,0.4925,0.0024,0.0000,PASS,Benign,benign,0.9846,0.9865,blur,busi_benign_idx348_PASS.png,panels/busi_benign_idx348_original.png,panels/busi_benign_idx348_occluded.png,panels/busi_benign_idx348_where.png
BUSI,benign,1,benign (134).png,oval shape,0.4992,0.4986,0.0006,0.0000,PASS,Benign,benign,1.0012,0.9731,blur,busi_benign_idx514_PASS.png,panels/busi_benign_idx514_original.png,panels/busi_benign_idx514_occluded.png,panels/busi_benign_idx514_where.png
BUSI,benign,1,benign (347).png,oval shape,0.4853,-0.0898,0.5752,0.0000,PASS,Benign,malignant,0.9798,1.7947,blur,busi_benign_idx253_PASS.png,panels/busi_benign_idx253_original.png,panels/busi_benign_idx253_occluded.png,panels/busi_benign_idx253_where.png
BUSI,benign,1,benign (76).png,oval shape,0.4972,0.4977,-0.0005,0.0005,FAIL,Benign,benign,1.0092,1.0112,blur,busi_benign_idx389_FAIL.png,panels/busi_benign_idx389_original.png,panels/busi_benign_idx389_occluded.png,panels/busi_benign_idx389_where.png
BUSI,benign,1,benign (205).png,oval shape,0.4939,0.5045,-0.0106,0.0106,FAIL,Benign,benign,0.9619,0.8774,blur,busi_benign_idx150_FAIL.png,panels/busi_benign_idx150_original.png,panels/busi_benign_idx150_occluded.png,panels/busi_benign_idx150_where.png
