group_key,partition,n,verdict,drop_on_med,drop_on_mean,drop_off_med,spec_med,spec_mean,spec_ci,spec_iqr,mask_med,pass_rate,locspec_rate,anti_rate,grade_change_rate,p_drop,p_spec_raw,p_spec_adj
BUSI:normal,overall,133,FAITHFUL,0.4746,0.43451804511278197,0.075,0.3376,0.3047766917293233,"[0.2599, 0.3671]","[0.0436, 0.4306]",0.4008,0.7819548872180451,0.849624060150376,0.21804511278195488,0.7142857142857143,1.007783245111201e-19,3.175422750107742e-20,6.350845500215485e-20
BUSI:benign,overall,437,WEAK/INCONCLUSIVE,0.0078,0.13173592677345536,0.0002,0.0068,0.12002425629290618,"[0.0053, 0.0093]","[0.001, 0.0994]",0.2257,0.8192219679633868,0.7917620137299771,0.17620137299771166,0.2608695652173913,8.191595402232801e-42,1.329956442554909e-36,5.319825770219636e-36
BUSI:malignant,overall,210,WEAK/INCONCLUSIVE,0.0006,0.017961428571428573,0.0004,0.0002,0.016719523809523813,"[0.0, 0.00045]","[-0.0001, 0.00365]",0.29515,0.8238095238095238,0.5619047619047619,0.05238095238095238,0.1619047619047619,6.123461327045997e-28,2.3561129886347784e-09,3.769780781815646e-09
DR:grade0 (No DR),overall,25810,INERT,-0.0003,0.0026332623014335534,-0.0001,-0.0003,0.0017550949244478887,"[-0.0003, -0.0002]","[-0.0012, 0.0007]",0.2749,0.4239442076714452,0.41286323130569547,0.555366137156141,0.017938783417280123,1.0,1.0,1.0
DR:grade1 (Mild NPDR),overall,2443,ANTI-FAITHFUL,-0.0668,-0.16928657388456814,-0.0096,-0.0398,-0.12818485468686042,"[-0.05650499999999999, -0.03]","[-0.2903, -0.0011]",0.1721,0.05935325419566107,0.21121571837904216,0.937781416291445,0.44412607449856734,1.0,1.0,1.0
DR:grade2 (Moderate NPDR),overall,5292,WEAK/INCONCLUSIVE,-0.001,0.09897498110355255,-0.0008,-0.0001,0.08117942176870747,"[-0.0002, 0.0001]","[-0.0039, 0.198825]",0.23005,0.44047619047619047,0.4877173091458806,0.5538548752834467,0.4021164021164021,1.0592291138305543e-74,5.527765893730227e-88,4.422212714984182e-87
DR:grade3 (Severe NPDR),overall,873,INERT,-0.0004,0.004302634593356242,-0.0008,0.0005,0.01001397479954181,"[0.0004, 0.0006]","[-0.0001, 0.0012]",0.1588,0.3104238258877434,0.6769759450171822,0.6552119129438717,0.038946162657502864,1.0,4.075004705735024e-35,1.0866679215293397e-34
DR:grade4 (PDR),overall,708,INERT,0.0,0.0030296610169491525,0.0,0.0,0.0013416666666666666,"[0.0, 0.0]","[-0.0001, 0.0001]",0.08235,0.2853107344632768,0.3121468926553672,0.327683615819209,0.014124293785310734,0.940968940566717,0.6464650262135936,0.8619533682847914
BUSI:normal,train,107,FAITHFUL,0.4735,0.4122785046728972,0.0735,0.2983,0.2933130841121495,"[0.2408, 0.3551]","[0.0154, 0.42905]",0.4008,0.7663551401869159,0.8317757009345794,0.2336448598130841,0.6915887850467289,9.659448547746447e-16,4.2006683738501797e-16,8.401336747700359e-16
BUSI:benign,train,350,WEAK/INCONCLUSIVE,0.00695,0.12438314285714286,0.0002,0.0058,0.11299257142857144,"[0.00435, 0.0076]","[0.0008, 0.092875]",0.22505,0.8085714285714286,0.7828571428571428,0.18571428571428572,0.2542857142857143,1.5391728752860645e-30,1.72796603891046e-26,4.6079094370945604e-26
